slen ntax exp_t set_name sim_t min_t max_t
0 50  3 set1_1  3  0  1
0 50  3 set1_10  3  3  7
0 50  3 set1_2  2  2  5
0 50  3 set1_3  3  1  4
0 50  3 set1_4  4  0  3
0 50  3 set1_5  2  5  9
0 50  3 set1_6  2  2  4
0 50  3 set1_7  2  0  4
0 50  3 set1_8  2 16 40
0 50  3 set1_9  2  3  6
0 50 10 set1_1  6  3 27
0 50 10 set1_10  8  4 31
0 50 10 set1_2  9 14 35
0 50 10 set1_3  9  8 33
0 50 10 set1_4 10 16 33
0 50 10 set1_5 10 15 29
0 50 10 set1_6  4  3  7
0 50 10 set1_7  8  9 32
0 50 10 set1_8 12 18 26
0 50 10 set1_9  9 11 39
0 50 30 set1_1 11 17 38
0 50 30 set1_10 10 27 38
0 50 30 set1_2 27  4 19
0 50 30 set1_3 14 10 31
0 50 30 set1_4 15  1 32
0 50 30 set1_5 12 14 36
0 50 30 set1_6 10 10 39
0 50 30 set1_7  9 19 42
0 50 30 set1_8 20  8 26
0 50 30 set1_9 13  7 32
0 100  3 set2_1  3  3  5
0 100  3 set2_10  2  2  2
0 100  3 set2_2  4  1  5
0 100  3 set2_3  4  9 16
0 100  3 set2_4  2  0  0
0 100  3 set2_5  3  1  1
0 100  3 set2_6  4  0  0
0 100  3 set2_7  3  0  4
0 100  3 set2_8  3  0  0
0 100  3 set2_9  2  8 12
0 100 10 set2_1  7  1  5
0 100 10 set2_10 12  2  9
0 100 10 set2_2  6  1  5
0 100 10 set2_3  7 10 16
0 100 10 set2_4  5  6 15
0 100 10 set2_5  6  1  4
0 100 10 set2_6  8 12 22
0 100 10 set2_7  9  3 12
0 100 10 set2_8  5  1  4
0 100 10 set2_9  9  4 11
0 100 30 set2_1 21 25 72
0 100 30 set2_10 19 30 70
0 100 30 set2_2 21 46 78
0 100 30 set2_3 20 28 72
0 100 30 set2_4 19 47 80
0 100 30 set2_5 19 46 78
0 100 30 set2_6 14 52 73
0 100 30 set2_7 17 38 70
0 100 30 set2_8 21 20 73
0 100 30 set2_9 23 30 72
0 500  3 set3_1  1  8   8
0 500  3 set3_10  3  3   6
0 500  3 set3_2  4  1   5
0 500  3 set3_3  2 12  12
0 500  3 set3_4  2 11  13
0 500  3 set3_5  1  1   1
0 500  3 set3_6  3  2   2
0 500  3 set3_7  1  1   1
0 500  3 set3_8  2  2   2
0 500  3 set3_9  4  3   7
0 500 10 set3_1  9 11  15
0 500 10 set3_10  9  6   9
0 500 10 set3_2 11  1   1
0 500 10 set3_3  9  4   4
0 500 10 set3_4  9 10  12
0 500 10 set3_5 14  8  13
0 500 10 set3_6 14 16  23
0 500 10 set3_7  8 18  25
0 500 10 set3_8 17 15  20
0 500 10 set3_9  9  4   4
0 500 30 set3_1 31 43  60
0 500 30 set3_10 34 65  87
0 500 30 set3_2 29 26  37
