"sim_trans"	"est_trans"
2	2
3	3
9	9
16	16
28	28
2	2
7	7
17	17
25	24
29	29
1	1
4	4
6	6
22	22
32	30
3	3
4	4
12	12
17	17
24	24
5	5
4	4
6	6
26	25
34	34
1	1
4	4
5	5
18	18
33	33
2	2
4	4
10	10
11	11
38	38
1	1
4	4
11	11
23	23
24	24
3	3
4	4
19	19
19	19
25	25
3	3
6	6
7	7
22	22
40	40
1	1
4	4
7	7
25	25
34	34
1	1
5	5
7	7
21	20
21	21
2	2
7	7
10	10
23	22
22	22
3	3
6	6
8	8
15	15
26	26
4	4
7	7
15	15
21	20
26	26
1	1
2	2
9	9
18	18
24	24
1	1
7	7
12	12
16	16
22	22
2	2
7	7
9	9
18	18
29	28
7	7
5	5
7	7
20	19
24	22
1	1
5	5
3	3
20	20
28	28
3	3
5	5
13	13
19	19
28	27
5	5
7	7
6	6
23	22
33	33
2	2
3	3
13	13
19	19
23	23
1	1
5	5
13	13
16	16
19	19
6	6
4	4
12	12
21	20
24	23
